subscription_id,customer_id,plan_id,start_date,end_date,status,mrr_amount,end_date_filled,duration_days,plan_name,tier
381,350,1,2026-04-16,,active,49,2026-06-30,75,Starter,1
382,351,1,2026-04-15,,active,49,2026-06-30,76,Starter,1
383,352,3,2024-02-11,,active,799,2026-06-30,870,Enterprise,3
384,353,2,2025-10-16,2025-11-01,churned,199,2025-11-01,16,Pro,2
385,354,2,2026-01-28,,active,199,2026-06-30,153,Pro,2
386,355,1,2025-03-26,2025-03-01,churned,49,2025-03-01,0,Starter,1
387,356,3,2024-09-11,,active,799,2026-06-30,657,Enterprise,3
388,357,1,2025-08-17,2025-10-01,upgraded,49,2025-10-01,45,Starter,1
389,357,2,2025-10-01,,active,199,2026-06-30,272,Pro,2
390,358,3,2026-04-20,,active,799,2026-06-30,71,Enterprise,3
391,359,1,2025-01-03,2025-05-01,churned,49,2025-05-01,118,Starter,1
392,360,1,2025-03-14,2026-04-01,upgraded,49,2026-04-01,383,Starter,1
393,360,2,2026-04-01,,active,199,2026-06-30,90,Pro,2
394,361,2,2026-04-28,,active,199,2026-06-30,63,Pro,2
395,362,2,2026-05-26,,active,199,2026-06-30,35,Pro,2
396,363,3,2026-04-17,,active,799,2026-06-30,74,Enterprise,3
397,364,3,2026-05-28,,active,799,2026-06-30,33,Enterprise,3
398,365,2,2024-01-08,2025-01-01,downgraded,199,2025-01-01,359,Pro,2
399,365,1,2025-01-01,,active,49,2026-06-30,545,Starter,1
400,366,1,2026-02-02,,active,49,2026-06-30,148,Starter,1
401,367,3,2026-06-15,,active,799,2026-06-30,15,Enterprise,3
402,368,2,2025-02-11,,active,199,2026-06-30,504,Pro,2
403,369,1,2024-11-06,2025-08-01,churned,49,2025-08-01,268,Starter,1
404,370,2,2025-09-25,2026-01-01,churned,199,2026-01-01,98,Pro,2
405,371,3,2026-01-23,,active,799,2026-06-30,158,Enterprise,3
406,372,1,2025-05-03,2025-09-01,churned,49,2025-09-01,121,Starter,1
407,373,1,2024-04-26,2025-06-01,churned,49,2025-06-01,401,Starter,1
408,374,1,2026-03-23,,active,49,2026-06-30,99,Starter,1
409,375,3,2025-03-06,,active,799,2026-06-30,481,Enterprise,3
410,376,2,2024-05-12,2025-10-01,churned,199,2025-10-01,507,Pro,2
411,377,2,2025-05-08,2025-12-01,upgraded,199,2025-12-01,207,Pro,2
412,377,3,2025-12-01,,active,799,2026-06-30,211,Enterprise,3
413,378,3,2026-01-15,,active,799,2026-06-30,166,Enterprise,3
414,379,2,2024-06-03,,active,199,2026-06-30,757,Pro,2
415,380,2,2024-11-14,2026-03-01,churned,199,2026-03-01,472,Pro,2
416,381,1,2025-08-21,,active,49,2026-06-30,313,Starter,1
417,382,2,2024-05-27,2026-01-01,churned,199,2026-01-01,584,Pro,2
418,383,1,2025-07-14,2026-06-01,churned,49,2026-06-01,322,Starter,1
419,384,2,2025-06-05,,active,199,2026-06-30,390,Pro,2
420,385,3,2025-12-12,,active,799,2026-06-30,200,Enterprise,3
421,386,1,2024-09-09,,active,49,2026-06-30,659,Starter,1
422,387,1,2025-02-10,,active,49,2026-06-30,505,Starter,1
423,388,2,2025-06-19,,active,199,2026-06-30,376,Pro,2
424,389,3,2025-10-11,,active,799,2026-06-30,262,Enterprise,3
425,390,1,2026-01-03,,active,49,2026-06-30,178,Starter,1
426,391,2,2025-10-07,2026-06-01,churned,199,2026-06-01,237,Pro,2
427,392,2,2024-09-21,2026-04-01,churned,199,2026-04-01,557,Pro,2
428,393,2,2024-12-26,2025-11-01,downgraded,199,2025-11-01,310,Pro,2
429,393,1,2025-11-01,,active,49,2026-06-30,241,Starter,1
430,394,1,2025-11-02,2026-02-01,churned,49,2026-02-01,91,Starter,1
431,395,1,2025-02-20,2025-07-01,churned,49,2025-07-01,131,Starter,1
432,396,2,2025-05-12,2026-06-01,churned,199,2026-06-01,385,Pro,2
433,397,1,2024-03-04,,active,49,2026-06-30,848,Starter,1
434,398,1,2025-09-05,,active,49,2026-06-30,298,Starter,1
435,399,1,2024-09-14,,active,49,2026-06-30,654,Starter,1
436,400,1,2025-11-19,,active,49,2026-06-30,223,Starter,1
437,401,1,2025-05-15,,active,49,2026-06-30,411,Starter,1
438,402,1,2026-05-17,,active,49,2026-06-30,44,Starter,1
439,403,2,2025-08-02,2025-12-01,churned,199,2025-12-01,121,Pro,2
440,404,2,2025-07-16,,active,199,2026-06-30,349,Pro,2
441,405,1,2025-05-09,2026-04-01,churned,49,2026-04-01,327,Starter,1
442,406,1,2025-11-02,,active,49,2026-06-30,240,Starter,1
443,407,2,2026-05-13,,active,199,2026-06-30,48,Pro,2
444,408,1,2026-04-22,,active,49,2026-06-30,69,Starter,1
445,409,3,2024-11-26,2026-06-01,churned,799,2026-06-01,552,Enterprise,3
446,410,1,2024-10-07,,active,49,2026-06-30,631,Starter,1
447,411,1,2026-04-05,,active,49,2026-06-30,86,Starter,1
448,412,3,2026-06-20,,active,799,2026-06-30,10,Enterprise,3
449,413,3,2026-02-06,,active,799,2026-06-30,144,Enterprise,3
450,414,2,2025-04-11,2025-11-01,churned,199,2025-11-01,204,Pro,2
451,415,1,2026-05-10,,active,49,2026-06-30,51,Starter,1
452,416,1,2026-06-14,,active,49,2026-06-30,16,Starter,1
453,417,1,2025-09-21,,active,49,2026-06-30,282,Starter,1
454,418,3,2024-07-25,2026-03-01,churned,799,2026-03-01,584,Enterprise,3
455,419,1,2024-06-06,,active,49,2026-06-30,754,Starter,1
456,420,3,2026-03-05,,active,799,2026-06-30,117,Enterprise,3
457,421,2,2024-12-04,,active,199,2026-06-30,573,Pro,2
458,422,1,2024-12-23,2025-09-01,churned,49,2025-09-01,252,Starter,1
459,423,3,2025-10-28,,active,799,2026-06-30,245,Enterprise,3
460,424,2,2026-01-07,,active,199,2026-06-30,174,Pro,2
461,425,2,2024-12-11,2025-11-01,upgraded,199,2025-11-01,325,Pro,2
462,425,3,2025-11-01,,active,799,2026-06-30,241,Enterprise,3
463,426,2,2024-05-12,2024-06-01,churned,199,2024-06-01,20,Pro,2
464,427,2,2024-01-23,,active,199,2026-06-30,889,Pro,2
465,428,2,2024-08-18,2025-02-01,churned,199,2025-02-01,167,Pro,2
466,429,3,2024-09-10,2026-02-01,churned,799,2026-02-01,509,Enterprise,3
467,430,1,2023-12-12,2026-03-01,churned,49,2026-03-01,810,Starter,1
468,431,2,2026-06-04,,active,199,2026-06-30,26,Pro,2
469,432,3,2025-04-27,,active,799,2026-06-30,429,Enterprise,3
470,433,2,2024-10-10,2026-04-01,churned,199,2026-04-01,538,Pro,2
471,434,3,2025-06-09,,active,799,2026-06-30,386,Enterprise,3
472,435,2,2023-07-18,2023-11-01,churned,199,2023-11-01,106,Pro,2
473,436,2,2025-04-08,,active,199,2026-06-30,448,Pro,2
474,437,1,2024-04-08,,active,49,2026-06-30,813,Starter,1
475,438,2,2025-05-22,2025-11-01,churned,199,2025-11-01,163,Pro,2
476,439,2,2026-02-14,,active,199,2026-06-30,136,Pro,2
477,440,2,2025-06-07,,active,199,2026-06-30,388,Pro,2
478,441,1,2023-10-25,,active,49,2026-06-30,979,Starter,1
479,442,3,2025-07-28,,active,799,2026-06-30,337,Enterprise,3
480,443,2,2024-12-06,,active,199,2026-06-30,571,Pro,2
481,444,2,2026-03-16,,active,199,2026-06-30,106,Pro,2
482,445,1,2023-10-02,2023-10-01,churned,49,2023-10-01,0,Starter,1
483,446,1,2025-11-10,,active,49,2026-06-30,232,Starter,1
484,447,2,2025-12-28,,active,199,2026-06-30,184,Pro,2
485,448,2,2024-04-06,,active,199,2026-06-30,815,Pro,2
486,449,2,2025-02-24,,active,199,2026-06-30,491,Pro,2
487,450,2,2024-07-06,,active,199,2026-06-30,724,Pro,2
488,451,1,2025-09-17,2025-11-01,churned,49,2025-11-01,45,Starter,1
489,452,1,2024-05-16,,active,49,2026-06-30,775,Starter,1
490,453,2,2023-07-15,2025-02-01,upgraded,199,2025-02-01,567,Pro,2
491,453,3,2025-02-01,,active,799,2026-06-30,514,Enterprise,3
492,454,1,2025-02-19,2025-11-01,churned,49,2025-11-01,255,Starter,1
493,455,1,2024-09-22,2024-09-01,churned,49,2024-09-01,0,Starter,1
494,456,2,2025-09-23,,active,199,2026-06-30,280,Pro,2
495,457,2,2024-06-12,,active,199,2026-06-30,748,Pro,2
496,458,1,2026-04-15,,active,49,2026-06-30,76,Starter,1
497,459,2,2024-07-16,2025-05-01,downgraded,199,2025-05-01,289,Pro,2
498,459,1,2025-05-01,,active,49,2026-06-30,425,Starter,1
499,460,2,2024-08-08,2025-01-01,upgraded,199,2025-01-01,146,Pro,2
500,460,3,2025-01-01,,active,799,2026-06-30,545,Enterprise,3
501,461,2,2023-08-15,,active,199,2026-06-30,1050,Pro,2
502,462,3,2025-07-02,,active,799,2026-06-30,363,Enterprise,3
503,463,1,2024-06-05,,active,49,2026-06-30,755,Starter,1
504,464,1,2025-06-07,,active,49,2026-06-30,388,Starter,1
505,465,2,2025-12-26,,active,199,2026-06-30,186,Pro,2
506,466,1,2025-11-02,2026-05-01,churned,49,2026-05-01,180,Starter,1
507,467,1,2024-04-13,2024-04-01,churned,49,2024-04-01,0,Starter,1
508,468,1,2026-01-02,2026-05-01,churned,49,2026-05-01,119,Starter,1
509,469,3,2026-06-03,,active,799,2026-06-30,27,Enterprise,3
510,470,1,2024-08-25,2026-02-01,churned,49,2026-02-01,525,Starter,1
511,471,3,2025-09-12,,active,799,2026-06-30,291,Enterprise,3
512,472,2,2024-10-13,2026-06-01,churned,199,2026-06-01,596,Pro,2
513,473,3,2025-02-21,,active,799,2026-06-30,494,Enterprise,3
514,474,2,2025-01-17,,active,199,2026-06-30,529,Pro,2
515,475,3,2026-02-01,,active,799,2026-06-30,149,Enterprise,3
516,476,2,2025-06-18,2025-08-01,churned,199,2025-08-01,44,Pro,2
517,477,1,2026-05-09,2026-05-01,churned,49,2026-05-01,0,Starter,1
518,478,2,2026-04-26,,active,199,2026-06-30,65,Pro,2
519,479,2,2025-10-08,2026-05-01,downgraded,199,2026-05-01,205,Pro,2
520,479,1,2026-05-01,,active,49,2026-06-30,60,Starter,1
521,480,1,2024-02-22,2025-05-01,churned,49,2025-05-01,434,Starter,1
522,481,2,2026-04-15,,active,199,2026-06-30,76,Pro,2
523,482,3,2025-12-05,,active,799,2026-06-30,207,Enterprise,3
524,483,2,2026-06-19,,active,199,2026-06-30,11,Pro,2
525,484,2,2025-01-08,2026-05-01,churned,199,2026-05-01,478,Pro,2
526,485,2,2026-03-14,,active,199,2026-06-30,108,Pro,2
527,486,3,2025-12-06,,active,799,2026-06-30,206,Enterprise,3
528,487,1,2026-03-21,,active,49,2026-06-30,101,Starter,1
529,488,1,2025-12-14,,active,49,2026-06-30,198,Starter,1
530,489,3,2024-03-08,,active,799,2026-06-30,844,Enterprise,3
531,490,3,2023-12-15,,active,799,2026-06-30,928,Enterprise,3
532,491,2,2023-07-17,,active,199,2026-06-30,1079,Pro,2
533,492,2,2023-11-03,,active,199,2026-06-30,970,Pro,2
534,493,1,2024-02-27,2024-08-01,churned,49,2024-08-01,156,Starter,1
535,494,3,2025-05-02,,active,799,2026-06-30,424,Enterprise,3
536,495,2,2025-08-22,,active,199,2026-06-30,312,Pro,2
537,496,3,2025-11-10,,active,799,2026-06-30,232,Enterprise,3
538,497,3,2024-03-04,,active,799,2026-06-30,848,Enterprise,3
539,498,3,2025-10-20,,active,799,2026-06-30,253,Enterprise,3
540,499,1,2026-03-25,,active,49,2026-06-30,97,Starter,1
541,500,2,2023-12-09,,active,199,2026-06-30,934,Pro,2
542,501,1,2026-04-24,,active,49,2026-06-30,67,Starter,1
543,502,3,2024-09-11,2024-11-01,downgraded,799,2024-11-01,51,Enterprise,3
544,502,2,2024-11-01,,active,199,2026-06-30,606,Pro,2
545,503,1,2024-12-01,2026-02-01,churned,49,2026-02-01,427,Starter,1
546,504,2,2025-03-10,,active,199,2026-06-30,477,Pro,2
547,505,1,2025-06-08,2025-09-01,churned,49,2025-09-01,85,Starter,1
548,506,3,2024-10-25,,active,799,2026-06-30,613,Enterprise,3
549,507,2,2026-04-15,,active,199,2026-06-30,76,Pro,2
550,508,1,2026-02-18,,active,49,2026-06-30,132,Starter,1
551,509,2,2026-02-02,,active,199,2026-06-30,148,Pro,2
552,510,1,2024-03-22,2025-07-01,churned,49,2025-07-01,466,Starter,1
553,511,1,2023-10-08,2024-05-01,churned,49,2024-05-01,206,Starter,1
554,512,1,2026-06-12,,active,49,2026-06-30,18,Starter,1
555,513,3,2025-02-22,,active,799,2026-06-30,493,Enterprise,3
556,514,2,2026-01-01,,active,199,2026-06-30,180,Pro,2
557,515,3,2026-02-17,,active,799,2026-06-30,133,Enterprise,3
558,516,3,2025-08-04,,active,799,2026-06-30,330,Enterprise,3
559,517,1,2025-11-17,2026-04-01,churned,49,2026-04-01,135,Starter,1
560,518,3,2024-07-12,2025-06-01,downgraded,799,2025-06-01,324,Enterprise,3
561,518,2,2025-06-01,,active,199,2026-06-30,394,Pro,2
562,519,1,2025-08-08,2026-05-01,churned,49,2026-05-01,266,Starter,1
563,520,2,2025-02-21,,active,199,2026-06-30,494,Pro,2
564,521,1,2023-12-16,2025-02-01,churned,49,2025-02-01,413,Starter,1
565,522,1,2025-07-28,2025-12-01,churned,49,2025-12-01,126,Starter,1
566,523,3,2025-02-04,,active,799,2026-06-30,511,Enterprise,3
567,524,2,2024-08-23,2025-03-01,upgraded,199,2025-03-01,190,Pro,2
568,524,3,2025-03-01,,active,799,2026-06-30,486,Enterprise,3
569,525,2,2026-03-22,,active,199,2026-06-30,100,Pro,2
570,526,3,2026-06-06,,active,799,2026-06-30,24,Enterprise,3
571,527,3,2023-12-05,2024-09-01,downgraded,799,2024-09-01,271,Enterprise,3
572,527,2,2024-09-01,2025-11-01,downgraded,199,2025-11-01,426,Pro,2
573,527,1,2025-11-01,,active,49,2026-06-30,241,Starter,1
574,528,1,2024-04-10,2024-04-01,churned,49,2024-04-01,0,Starter,1
575,529,3,2025-11-22,,active,799,2026-06-30,220,Enterprise,3
576,530,3,2026-01-26,,active,799,2026-06-30,155,Enterprise,3
577,531,1,2023-09-02,2025-03-01,churned,49,2025-03-01,546,Starter,1
578,532,1,2024-02-25,2024-04-01,churned,49,2024-04-01,36,Starter,1
579,533,3,2024-11-01,2025-10-01,churned,799,2025-10-01,334,Enterprise,3
580,534,1,2025-06-12,2026-06-01,churned,49,2026-06-01,354,Starter,1
581,535,1,2024-10-22,2025-01-01,churned,49,2025-01-01,71,Starter,1
582,536,1,2026-01-23,2026-03-01,churned,49,2026-03-01,37,Starter,1
583,537,1,2025-08-21,,active,49,2026-06-30,313,Starter,1
584,538,2,2025-06-01,,active,199,2026-06-30,394,Pro,2
585,539,1,2026-01-05,,active,49,2026-06-30,176,Starter,1
586,540,1,2025-09-14,,active,49,2026-06-30,289,Starter,1
587,541,2,2026-03-20,2026-03-01,churned,199,2026-03-01,0,Pro,2
588,542,2,2024-11-13,,active,199,2026-06-30,594,Pro,2
589,543,2,2025-03-19,,active,199,2026-06-30,468,Pro,2
590,544,1,2024-09-10,2025-05-01,churned,49,2025-05-01,233,Starter,1
591,545,1,2025-04-14,2025-11-01,churned,49,2025-11-01,201,Starter,1
592,546,1,2025-11-24,,active,49,2026-06-30,218,Starter,1
593,547,1,2025-08-05,,active,49,2026-06-30,329,Starter,1
594,548,2,2024-04-13,2024-06-01,upgraded,199,2024-06-01,49,Pro,2
595,548,3,2024-06-01,,active,799,2026-06-30,759,Enterprise,3
596,549,2,2026-01-27,,active,199,2026-06-30,154,Pro,2
597,550,2,2025-03-20,2025-09-01,upgraded,199,2025-09-01,165,Pro,2
598,550,3,2025-09-01,,active,799,2026-06-30,302,Enterprise,3
599,551,1,2024-07-11,2026-03-01,upgraded,49,2026-03-01,598,Starter,1
600,551,2,2026-03-01,,active,199,2026-06-30,121,Pro,2
601,552,1,2025-03-26,2025-12-01,churned,49,2025-12-01,250,Starter,1
602,553,1,2024-05-12,2024-09-01,churned,49,2024-09-01,112,Starter,1
603,554,2,2024-05-06,2024-09-01,churned,199,2024-09-01,118,Pro,2
604,555,2,2024-12-23,2025-04-01,upgraded,199,2025-04-01,99,Pro,2
605,555,3,2025-04-01,,active,799,2026-06-30,455,Enterprise,3
606,556,3,2026-01-27,,active,799,2026-06-30,154,Enterprise,3
607,557,2,2025-08-21,,active,199,2026-06-30,313,Pro,2
608,558,1,2024-04-26,2026-01-01,churned,49,2026-01-01,615,Starter,1
609,559,2,2024-07-13,2024-12-01,upgraded,199,2024-12-01,141,Pro,2
610,559,3,2024-12-01,,active,799,2026-06-30,576,Enterprise,3
611,560,2,2026-02-18,,active,199,2026-06-30,132,Pro,2
612,561,2,2026-02-18,,active,199,2026-06-30,132,Pro,2
613,562,1,2025-03-22,,active,49,2026-06-30,465,Starter,1
614,563,2,2025-06-21,2025-09-01,churned,199,2025-09-01,72,Pro,2
615,564,1,2025-03-14,2025-08-01,churned,49,2025-08-01,140,Starter,1
616,565,1,2024-10-17,2025-01-01,churned,49,2025-01-01,76,Starter,1
617,566,1,2025-10-13,2026-01-01,churned,49,2026-01-01,80,Starter,1
618,567,3,2024-03-12,,active,799,2026-06-30,840,Enterprise,3
619,568,2,2026-04-04,,active,199,2026-06-30,87,Pro,2
620,569,2,2023-12-15,2025-06-01,churned,199,2025-06-01,534,Pro,2
621,570,1,2025-10-15,,active,49,2026-06-30,258,Starter,1
622,571,1,2024-07-26,,active,49,2026-06-30,704,Starter,1
623,572,2,2025-01-22,,active,199,2026-06-30,524,Pro,2
624,573,2,2025-04-06,,active,199,2026-06-30,450,Pro,2
625,574,2,2025-09-08,,active,199,2026-06-30,295,Pro,2
626,575,1,2025-12-14,,active,49,2026-06-30,198,Starter,1
627,576,3,2024-08-19,2026-03-01,churned,799,2026-03-01,559,Enterprise,3
628,577,1,2025-10-25,,active,49,2026-06-30,248,Starter,1
629,578,2,2026-01-28,,active,199,2026-06-30,153,Pro,2
630,579,1,2024-09-09,2025-03-01,churned,49,2025-03-01,173,Starter,1
631,580,3,2025-08-20,,active,799,2026-06-30,314,Enterprise,3
632,581,1,2026-06-28,,active,49,2026-06-30,2,Starter,1
633,582,3,2024-12-10,,active,799,2026-06-30,567,Enterprise,3
634,583,2,2024-12-04,2026-02-01,churned,199,2026-02-01,424,Pro,2
635,584,1,2023-10-17,2025-01-01,churned,49,2025-01-01,442,Starter,1
636,585,2,2025-06-06,2025-08-01,churned,199,2025-08-01,56,Pro,2
637,586,2,2025-09-18,2025-11-01,churned,199,2025-11-01,44,Pro,2
638,587,1,2025-10-15,,active,49,2026-06-30,258,Starter,1
639,588,2,2026-03-05,,active,199,2026-06-30,117,Pro,2
640,589,2,2025-04-16,,active,199,2026-06-30,440,Pro,2
641,590,2,2025-01-16,2025-03-01,upgraded,199,2025-03-01,44,Pro,2
642,590,3,2025-03-01,,active,799,2026-06-30,486,Enterprise,3
643,591,1,2024-08-10,,active,49,2026-06-30,689,Starter,1
644,592,1,2023-09-15,2025-03-01,churned,49,2025-03-01,533,Starter,1
645,593,1,2026-01-04,,active,49,2026-06-30,177,Starter,1
646,594,3,2024-06-18,2025-02-01,downgraded,799,2025-02-01,228,Enterprise,3
647,594,2,2025-02-01,2025-03-01,churned,199,2025-03-01,28,Pro,2
648,595,3,2026-06-07,,active,799,2026-06-30,23,Enterprise,3
649,596,2,2026-04-08,,active,199,2026-06-30,83,Pro,2
650,597,2,2023-10-28,2024-07-01,churned,199,2024-07-01,247,Pro,2
651,598,2,2025-07-26,,active,199,2026-06-30,339,Pro,2
652,599,2,2026-04-28,,active,199,2026-06-30,63,Pro,2
653,600,1,2025-07-26,2026-04-01,churned,49,2026-04-01,249,Starter,1
654,601,1,2025-12-18,,active,49,2026-06-30,194,Starter,1
655,602,1,2024-04-10,2024-10-01,churned,49,2024-10-01,174,Starter,1
656,603,2,2025-01-27,,active,199,2026-06-30,519,Pro,2
657,604,3,2024-10-09,,active,799,2026-06-30,629,Enterprise,3
658,605,3,2025-11-05,,active,799,2026-06-30,237,Enterprise,3
659,606,2,2025-10-13,2026-04-01,downgraded,199,2026-04-01,170,Pro,2
660,606,1,2026-04-01,,active,49,2026-06-30,90,Starter,1
661,607,1,2025-03-13,2025-04-01,churned,49,2025-04-01,19,Starter,1
662,608,3,2026-05-13,,active,799,2026-06-30,48,Enterprise,3
663,609,3,2025-10-15,,active,799,2026-06-30,258,Enterprise,3
664,610,1,2024-11-28,,active,49,2026-06-30,579,Starter,1
665,611,1,2024-06-23,2025-07-01,upgraded,49,2025-07-01,373,Starter,1
666,611,2,2025-07-01,,active,199,2026-06-30,364,Pro,2
667,612,3,2026-02-14,,active,799,2026-06-30,136,Enterprise,3
668,613,1,2025-06-11,,active,49,2026-06-30,384,Starter,1
669,614,3,2025-01-11,,active,799,2026-06-30,535,Enterprise,3
670,615,2,2026-05-26,,active,199,2026-06-30,35,Pro,2
671,616,3,2025-12-15,,active,799,2026-06-30,197,Enterprise,3
672,617,2,2025-11-05,,active,199,2026-06-30,237,Pro,2
673,618,3,2023-08-03,,active,799,2026-06-30,1062,Enterprise,3
674,619,1,2026-01-06,2026-05-01,churned,49,2026-05-01,115,Starter,1
675,620,2,2026-03-08,,active,199,2026-06-30,114,Pro,2
676,621,1,2026-03-16,,active,49,2026-06-30,106,Starter,1
677,622,1,2026-03-01,2026-05-01,churned,49,2026-05-01,61,Starter,1
678,623,1,2024-07-14,,active,49,2026-06-30,716,Starter,1
679,624,2,2026-04-24,,active,199,2026-06-30,67,Pro,2
680,625,1,2024-03-05,2024-07-01,churned,49,2024-07-01,118,Starter,1
681,626,2,2025-10-22,,active,199,2026-06-30,251,Pro,2
682,627,1,2025-01-06,,active,49,2026-06-30,540,Starter,1
683,628,2,2026-04-14,,active,199,2026-06-30,77,Pro,2
684,629,2,2024-11-05,,active,199,2026-06-30,602,Pro,2
685,630,2,2025-09-11,,active,199,2026-06-30,292,Pro,2
686,631,2,2025-08-18,,active,199,2026-06-30,316,Pro,2
687,632,2,2025-10-01,,active,199,2026-06-30,272,Pro,2
688,633,1,2024-04-20,2025-07-01,churned,49,2025-07-01,437,Starter,1
689,634,2,2026-03-26,2026-05-01,churned,199,2026-05-01,36,Pro,2
690,635,1,2026-01-08,,active,49,2026-06-30,173,Starter,1
691,636,3,2025-10-12,,active,799,2026-06-30,261,Enterprise,3
692,637,3,2025-11-14,,active,799,2026-06-30,228,Enterprise,3
693,638,1,2024-09-03,2025-11-01,churned,49,2025-11-01,424,Starter,1
694,639,2,2025-05-02,,active,199,2026-06-30,424,Pro,2
695,640,2,2024-11-17,,active,199,2026-06-30,590,Pro,2
696,641,1,2023-07-18,2025-07-01,churned,49,2025-07-01,714,Starter,1
697,642,2,2025-09-17,2026-01-01,churned,199,2026-01-01,106,Pro,2
698,643,1,2026-06-13,,active,49,2026-06-30,17,Starter,1
699,644,2,2026-05-03,2026-05-01,churned,199,2026-05-01,0,Pro,2
700,645,2,2024-02-02,,active,199,2026-06-30,879,Pro,2
701,646,1,2025-01-20,2026-05-01,churned,49,2026-05-01,466,Starter,1
702,647,1,2024-02-04,2024-07-01,upgraded,49,2024-07-01,148,Starter,1
703,647,2,2024-07-01,,active,199,2026-06-30,729,Pro,2
704,648,1,2024-10-12,2025-12-01,churned,49,2025-12-01,415,Starter,1
705,649,1,2025-09-12,2025-11-01,churned,49,2025-11-01,50,Starter,1
706,650,2,2025-11-25,,active,199,2026-06-30,217,Pro,2
707,651,1,2025-10-03,2025-11-01,churned,49,2025-11-01,29,Starter,1
708,652,2,2024-11-15,2026-03-01,upgraded,199,2026-03-01,471,Pro,2
709,652,3,2026-03-01,,active,799,2026-06-30,121,Enterprise,3
710,653,2,2026-01-12,,active,199,2026-06-30,169,Pro,2
711,654,2,2025-02-24,2025-11-01,churned,199,2025-11-01,250,Pro,2
712,655,1,2024-04-28,2025-07-01,churned,49,2025-07-01,429,Starter,1
713,656,2,2024-08-06,2026-03-01,churned,199,2026-03-01,572,Pro,2
714,657,2,2025-12-24,,active,199,2026-06-30,188,Pro,2
715,658,1,2026-02-11,,active,49,2026-06-30,139,Starter,1
716,659,2,2025-12-22,2026-06-01,upgraded,199,2026-06-01,161,Pro,2
717,659,3,2026-06-01,,active,799,2026-06-30,29,Enterprise,3
718,660,1,2024-02-13,2024-04-01,churned,49,2024-04-01,48,Starter,1
719,661,1,2025-10-10,2026-01-01,churned,49,2026-01-01,83,Starter,1
720,662,1,2025-06-10,2026-01-01,churned,49,2026-01-01,205,Starter,1
721,663,2,2024-09-12,,active,199,2026-06-30,656,Pro,2
722,664,3,2025-01-24,,active,799,2026-06-30,522,Enterprise,3
723,665,1,2024-03-14,2026-03-01,churned,49,2026-03-01,717,Starter,1
724,666,3,2026-04-01,,active,799,2026-06-30,90,Enterprise,3
725,667,2,2026-01-24,,active,199,2026-06-30,157,Pro,2
726,668,2,2024-11-14,,active,199,2026-06-30,593,Pro,2
727,669,2,2025-07-09,2025-09-01,upgraded,199,2025-09-01,54,Pro,2
728,669,3,2025-09-01,,active,799,2026-06-30,302,Enterprise,3
729,670,3,2024-05-14,,active,799,2026-06-30,777,Enterprise,3
730,671,2,2024-11-19,,active,199,2026-06-30,588,Pro,2
731,672,2,2026-02-19,,active,199,2026-06-30,131,Pro,2
732,673,2,2025-09-10,2026-01-01,upgraded,199,2026-01-01,113,Pro,2
733,673,3,2026-01-01,,active,799,2026-06-30,180,Enterprise,3
734,674,2,2023-08-27,,active,199,2026-06-30,1038,Pro,2
735,675,1,2024-09-07,2025-02-01,churned,49,2025-02-01,147,Starter,1
736,676,1,2025-01-06,2025-06-01,churned,49,2025-06-01,146,Starter,1
737,677,1,2024-06-25,2024-07-01,churned,49,2024-07-01,6,Starter,1
738,678,1,2025-01-03,2025-07-01,churned,49,2025-07-01,179,Starter,1
739,679,1,2026-05-20,,active,49,2026-06-30,41,Starter,1
740,680,1,2026-05-23,,active,49,2026-06-30,38,Starter,1
741,681,2,2024-01-10,,active,199,2026-06-30,902,Pro,2
742,682,1,2024-04-28,2024-08-01,churned,49,2024-08-01,95,Starter,1
743,683,2,2025-08-04,2025-09-01,churned,199,2025-09-01,28,Pro,2
744,684,3,2025-01-25,,active,799,2026-06-30,521,Enterprise,3
745,685,2,2026-03-22,,active,199,2026-06-30,100,Pro,2
746,686,1,2024-04-27,2024-04-01,churned,49,2024-04-01,0,Starter,1
747,687,2,2026-03-15,,active,199,2026-06-30,107,Pro,2
748,688,1,2026-04-11,,active,49,2026-06-30,80,Starter,1
749,689,2,2025-10-14,2026-05-01,downgraded,199,2026-05-01,199,Pro,2
750,689,1,2026-05-01,,active,49,2026-06-30,60,Starter,1
751,690,1,2025-01-14,2026-04-01,churned,49,2026-04-01,442,Starter,1
752,691,2,2026-03-15,,active,199,2026-06-30,107,Pro,2
753,692,2,2024-10-21,2025-09-01,churned,199,2025-09-01,315,Pro,2
754,693,2,2026-03-03,,active,199,2026-06-30,119,Pro,2
755,694,1,2024-09-17,2025-09-01,churned,49,2025-09-01,349,Starter,1
756,695,2,2025-02-13,2025-04-01,churned,199,2025-04-01,47,Pro,2
757,696,3,2026-06-12,,active,799,2026-06-30,18,Enterprise,3
758,697,1,2024-11-01,2025-08-01,churned,49,2025-08-01,273,Starter,1
759,698,2,2026-04-09,,active,199,2026-06-30,82,Pro,2
760,699,3,2026-05-19,,active,799,2026-06-30,42,Enterprise,3
761,700,1,2025-10-08,,active,49,2026-06-30,265,Starter,1
762,701,3,2023-07-25,,active,799,2026-06-30,1071,Enterprise,3
763,702,2,2025-02-13,2025-09-01,churned,199,2025-09-01,200,Pro,2
764,703,2,2025-10-08,2025-11-01,churned,199,2025-11-01,24,Pro,2
